Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
kennington-cre-c.mps,0,3068,6411,2375,5412,28528,9.694000e-03,3.517000e-13,1.840000e-08,2.527512e+07,2.527512e+07,0,25,1.500000e-01
kennington-cre-a.mps,0,3516,7248,2994,6692,33212,7.076000e-03,3.749000e-14,3.510000e-07,2.359541e+07,2.359541e+07,0,23,1.700000e-01
kennington-ken-07.mps,0,2426,3602,1437,2613,10034,9.022000e-03,1.175000e-11,1.350000e-07,-6.795204e+08,-6.795205e+08,0,13,4.000000e-02
kennington-pds-02.mps,0,2953,7716,2609,7339,44301,1.263300e-02,4.697000e-12,9.050000e-08,2.885786e+10,2.885786e+10,0,24,1.800000e-01
kennington-pds-06.mps,0,9881,29351,9156,28472,589339,1.395100e-02,4.293000e-12,5.780000e-07,2.776105e+10,2.776103e+10,1,31,4.420000e+00
kennington-ken-11.mps,0,14694,21349,10085,16740,102906,1.924000e-03,3.740000e-14,7.210000e-09,-6.972382e+09,-6.972382e+09,0,20,4.400000e-01
kennington-pds-10.mps,0,16558,49932,15648,48780,1687660,1.372100e-02,2.820000e-12,1.920000e-06,2.672714e+10,2.672706e+10,2,34,2.104000e+01
kennington-osa-07.mps,0,1118,25067,1081,25030,28276,4.746900e-02,1.799000e-12,1.250000e-10,5.357225e+05,5.357225e+05,0,22,5.400000e-01
kennington-ken-13.mps,0,28632,42659,22534,36561,298417,1.131000e-03,3.230000e-15,3.280000e-06,-1.025737e+10,-1.025743e+10,0,23,1.250000e+00
kennington-cre-d.mps,0,8926,73948,4102,28601,212094,2.496600e-02,6.269000e-14,3.360000e-07,2.445498e+07,2.445497e+07,0,41,1.750000e+00
kennington-cre-b.mps,0,9648,77137,5336,36382,248629,1.727700e-02,7.154000e-11,2.580000e-06,2.312970e+07,2.312964e+07,0,41,2.110000e+00
kennington-pds-20.mps,0,33874,108175,32287,106180,7089645,1.357100e-02,5.683000e-12,4.600000e-06,2.382174e+10,2.382158e+10,3,43,1.902400e+02
kennington-osa-14.mps,0,2337,54797,2300,54760,60795,2.255000e-02,1.349000e-10,9.150000e-09,1.106463e+06,1.106463e+06,0,25,1.380000e+00
kennington-osa-30.mps,0,4350,104374,4313,104337,115081,1.214100e-02,6.357000e-10,4.870000e-08,2.142140e+06,2.142140e+06,0,24,3.040000e+00
kennington-ken-18.mps,0,105127,154699,78862,128434,1928863,1.964000e-03,2.945000e-14,3.280000e-06,-5.221692e+10,-5.221739e+10,0,29,8.600000e+00
kennington-osa-60.mps,0,10280,243246,10243,243209,265909,4.971000e-03,5.640000e-10,4.580000e-08,4.044073e+06,4.044072e+06,0,33,1.083000e+01
