Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
kennington-cre-c.mps,0,3068,6411,2375,5412,342840,1.211400e-01,3.843000e-13,1.840000e-08,2.527512e+07,2.527512e+07,0,25,2.040000e+00
kennington-cre-a.mps,0,3516,7248,2994,6692,2638057,5.882530e-01,5.036000e-11,2.150000e-08,2.359541e+07,2.359541e+07,5,18,2.443000e+01
kennington-ken-07.mps,0,2426,3602,1437,2613,96033,9.231600e-02,1.175000e-11,1.350000e-07,-6.795204e+08,-6.795205e+08,0,13,2.700000e-01
kennington-pds-02.mps,0,2953,7716,2609,7339,768328,2.253670e-01,1.150000e-12,2.530000e-08,2.885786e+10,2.885786e+10,3,20,5.220000e+00
kennington-pds-06.mps,0,9881,29351,9156,28472,7715856,1.839690e-01,4.255000e-12,1.670000e-06,2.776108e+10,2.776102e+10,7,27,2.494400e+02
kennington-ken-11.mps,0,14694,21349,10085,16740,10638459,2.090990e-01,1.073000e-12,1.300000e-06,-6.972376e+09,-6.972395e+09,9,15,2.958700e+02
kennington-pds-10.mps,0,16558,49932,15648,48780,15180087,1.239260e-01,7.483000e-11,3.410000e-06,2.672717e+10,2.672705e+10,8,31,6.419400e+02
kennington-osa-07.mps,0,1118,25067,1081,25030,188983,3.225210e-01,4.193000e-12,2.910000e-10,5.357225e+05,5.357225e+05,0,22,1.020000e+00
kennington-ken-13.mps,0,28632,42659,22534,36561,26535690,1.044720e-01,2.596000e-15,2.610000e-07,-1.025739e+10,-1.025740e+10,10,20,1.425920e+03
kennington-cre-d.mps,0,8926,73948,4102,28601,5080054,6.035760e-01,5.717000e-13,1.940000e-07,2.445497e+07,2.445497e+07,5,30,1.088200e+02
kennington-cre-b.mps,0,9648,77137,5336,36382,5399904,3.791140e-01,3.261000e-12,9.910000e-07,2.312966e+07,2.312964e+07,5,33,1.126100e+02
kennington-pds-20.mps,0,33874,108175,32287,106180,41662111,7.990000e-02,9.912000e-14,4.450000e-06,2.382175e+10,2.382162e+10,9,41,2.911490e+03
kennington-osa-14.mps,0,2337,54797,2300,54760,856962,3.235580e-01,1.364000e-10,5.690000e-08,1.106463e+06,1.106463e+06,1,24,6.770000e+00
kennington-osa-30.mps,0,4350,104374,4313,104337,3126238,3.358870e-01,4.075000e-09,3.460000e-07,2.142141e+06,2.142140e+06,3,19,3.577000e+01
kennington-ken-18.mps,-1,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
kennington-osa-60.mps,0,10280,243246,10243,243209,15942080,3.037950e-01,3.907000e-10,4.110000e-08,4.044073e+06,4.044072e+06,8,20,4.879700e+02
