Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
meszaros-lindo.mps,0,7,17,6,16,20,9.444440e-01,5.715000e-16,2.080000e-15,1.750000e+04,1.750000e+04,0,9,0.000000e+00
meszaros-testps.mod.mps,0,12,46,12,46,31,3.472220e-01,2.211000e-15,3.130000e-10,2.516211e-10,-1.985510e-10,0,13,0.000000e+00
meszaros-aramco.mps,0,29,62,22,54,95,3.471070e-01,2.973000e-15,3.340000e-12,-3.926918e+05,-3.926918e+05,0,9,0.000000e+00
meszaros-p0033.mps,0,15,48,15,48,58,4.488890e-01,1.215000e-16,1.750000e-16,2.520572e+03,2.520572e+03,0,8,0.000000e+00
meszaros-p0040.mps,0,23,63,23,63,96,3.194710e-01,8.171000e-16,3.650000e-17,6.179655e+04,6.179655e+04,0,9,0.000000e+00
meszaros-zed.mps,0,116,142,105,131,3380,6.036280e-01,3.508000e-10,3.890000e-09,-1.506065e+04,-1.506065e+04,0,9,1.000000e-02
meszaros-orswq2.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-3-mix.mps,0,61,160,52,142,541,3.809170e-01,6.671000e-14,2.390000e-11,4.440468e+04,4.440468e+04,0,16,1.000000e-02
meszaros-gamsmod.mps,0,354,531,352,529,1661,2.397000e-02,2.113000e-15,3.820000e-16,1.000000e+00,1.000000e+00,0,3,0.000000e+00
meszaros-p0201.mps,0,133,334,133,334,2922,3.228560e-01,9.618000e-13,7.280000e-13,6.875000e+03,6.875000e+03,0,5,1.000000e-02
meszaros-p0282.mps,0,241,523,221,503,9587,3.880550e-01,7.705000e-16,5.750000e-10,1.768675e+05,1.768675e+05,0,13,2.000000e-02
meszaros-p0291.mps,0,252,543,205,495,4889,2.277930e-01,2.147000e-16,3.060000e-14,1.705129e+03,1.705129e+03,0,12,1.000000e-02
meszaros-p0548.mps,0,176,724,165,710,1053,7.129500e-02,1.527000e-15,5.680000e-09,3.152549e+02,3.152549e+02,0,24,2.000000e-02
meszaros-nsic1.mps,0,451,883,451,883,5042,4.736000e-02,2.130000e-15,2.450000e-08,-9.168554e+06,-9.168554e+06,0,10,2.000000e-02
meszaros-nsic2.mps,0,465,897,459,891,5516,5.018500e-02,7.124000e-08,8.510000e-08,-8.203512e+06,-8.203512e+06,0,14,3.000000e-02
meszaros-qiu.mps,0,1192,1900,1192,1900,46492,6.460300e-02,1.186000e-13,5.470000e-08,-9.316388e+02,-9.316389e+02,0,5,2.000000e-02
meszaros-model1.mps,0,362,798,307,669,6861,1.423360e-01,8.560000e-17,9.650000e-16,0.000000e+00,-2.761572e-15,0,8,1.000000e-02
meszaros-delfland.mps,0,677,1400,525,912,3461,2.320900e-02,1.916000e-13,2.730000e-08,2.203089e+00,2.203089e+00,0,46,4.000000e-02
meszaros-l09a13l1d.mps,14,244,1483,244,1483,6845,2.258470e-01,1.267000e-08,1.570000e-14,9.982357e-01,9.982357e-01,0,12,2.000000e-02
meszaros-p19.mps,0,284,851,251,766,2971,9.033200e-02,1.166000e-13,1.930000e-10,2.539644e+05,2.539644e+05,0,19,2.000000e-02
meszaros-nemscem.mps,0,651,1712,479,1540,2535,2.001000e-02,1.113000e-14,7.180000e-09,8.977233e+04,8.977233e+04,0,18,2.000000e-02
meszaros-nemsafm.mps,0,334,2348,322,1402,1016,1.649200e-02,5.641000e-16,5.160000e-08,-6.792371e+03,-6.792378e+03,0,16,1.000000e-02
meszaros-model2.mps,0,379,1321,365,1305,12167,1.799140e-01,1.594000e-10,1.270000e-09,-7.400489e+03,-7.400489e+03,0,23,6.000000e-02
meszaros-orna1.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-orna3.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-orna2.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-orna7.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-or4.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-cr42.mps,14,905,1513,904,1512,1804,3.309000e-03,1.147000e-01,3.910000e-06,-2.215403e+01,-2.215412e+01,0,15,4.000000e-02
meszaros-iiasa.mps,0,669,3639,519,2973,4525,3.167100e-02,4.526000e-14,6.100000e-08,2.634861e+08,2.634861e+08,0,15,2.000000e-02
meszaros-disp3.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-dsbmip.mps,0,1182,2676,1182,2589,16789,2.318800e-02,2.206000e-11,2.900000e-08,-3.051981e+02,-3.051984e+02,0,48,1.500000e-01
meszaros-progas.mps,0,1650,1900,1410,1535,30946,3.042200e-02,1.277000e-13,1.340000e-14,7.607732e+05,7.607732e+05,0,15,6.000000e-02
meszaros-sturing.mps,0,3069,5049,2333,3871,18861,6.502000e-03,1.693000e-11,3.980000e-08,4.613329e+00,4.613329e+00,0,36,1.500000e-01
meszaros-p2756.mps,0,755,3511,749,3505,6524,2.192300e-02,4.184000e-16,2.080000e-11,2.688750e+03,2.688750e+03,0,15,5.000000e-02
meszaros-p12345.mps,0,520,1544,520,1544,6436,4.568000e-02,4.393000e-12,1.440000e-08,-4.212268e+04,-4.212268e+04,0,14,8.000000e-02
meszaros-model3.mps,5,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-aircraft.mps,14,3754,7517,3754,7517,3754,2.660000e-04,3.118000e-03,6.750000e-05,1.006996e+03,1.006948e+03,0,10,1.200000e-01
meszaros-model6.mps,0,2096,5289,1937,4673,106345,5.617100e-02,3.164000e-13,5.640000e-08,1.175077e+05,1.175077e+05,0,33,4.300000e-01
meszaros-test.mps,0,2095,7967,2086,7938,6554,2.533000e-03,4.528000e-10,4.460000e-07,-2.351871e+06,-2.351873e+06,0,46,2.800000e-01
meszaros-primagaz.mps,0,1554,10836,1554,10836,12404,9.629000e-03,1.350000e-14,2.970000e-08,1.071903e+09,1.071903e+09,0,13,1.100000e-01
meszaros-f2177.mps,0,9728,10178,9728,9908,12932313,2.732090e-01,5.087000e-13,5.390000e-13,9.000000e+01,9.000000e+01,5,2,2.851000e+01
meszaros-model8.mps,0,2896,6464,2590,5597,223762,6.632800e-02,1.012000e-14,2.650000e-10,1.527667e-12,-8.365495e-09,0,17,4.100000e-01
meszaros-seymour.mps,0,4944,6316,4827,6082,4514122,3.872720e-01,7.941000e-13,7.060000e-08,4.038465e+02,4.038464e+02,4,15,3.623000e+01
meszaros-lpl2.mps,0,3294,10881,2568,7650,42869,1.261200e-02,2.512000e-14,2.740000e-08,4.465000e+03,4.465000e+03,0,21,1.800000e-01
meszaros-ds90.mps,0,3700,8291,3500,7876,99700,1.599200e-02,2.170000e-13,2.720000e-07,9.257565e+05,9.257562e+05,0,28,3.700000e-01
meszaros-model4.mps,0,1337,4962,1214,4660,88743,1.196040e-01,2.593000e-12,2.710000e-07,1.112703e+06,1.112702e+06,0,35,5.000000e-01
meszaros-complex1.mps,15,1023,1408,1013,1388,471404,9.177780e-01,1.531000e-05,3.610000e-05,-9.966585e+01,-9.968145e+01,3,39,8.730000e+00
meszaros-p19328.mps,0,1032,3080,1032,3080,16932,3.082700e-02,1.631000e-10,1.510000e-08,-5.441751e+04,-5.441751e+04,0,15,2.700000e-01
meszaros-model7.mps,0,3358,9582,2376,7497,110005,3.855100e-02,1.683000e-11,5.670000e-07,4.938011e+04,4.938007e+04,0,39,7.000000e-01
meszaros-dbah00.mps,0,10099,16369,9150,14990,280991,6.603000e-03,1.438000e-11,5.710000e-07,5.581282e+06,5.581279e+06,0,43,1.230000e+00
meszaros-crew.mps,0,135,6469,135,6469,8588,9.350340e-01,6.429000e-09,4.060000e-07,2.055556e+01,2.055555e+01,0,12,1.500000e-01
meszaros-model9.mps,0,2879,10939,1912,8987,70839,3.823200e-02,1.056000e-11,1.270000e-07,-1.411231e+05,-1.411231e+05,0,41,5.800000e-01
meszaros-nemspmm1.mps,0,2372,8903,2227,7145,114639,4.578100e-02,2.336000e-10,1.980000e-07,-3.274158e+05,-3.274158e+05,0,39,7.300000e-01
meszaros-air05.mps,0,426,7195,408,7195,62864,7.528350e-01,1.204000e-09,3.380000e-09,2.587761e+04,2.587761e+04,0,33,6.000000e-01
meszaros-sc205.mps,12,17613,31223,17612,31222,50422,2.680000e-04,4.562000e-03,5.760000e-06,-8.658027e+01,-8.658017e+01,0,15,5.300000e-01
meszaros-model11.mps,0,7056,20464,6685,19680,140071,6.119000e-03,3.683000e-15,1.230000e-06,3.139749e-07,-1.286791e-06,0,25,6.200000e-01
