Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
netlib-lotfi.mps,0,153,366,133,346,2778,3.065750e-01,3.023000e-12,3.320000e-10,-2.526471e+01,-2.526471e+01,0,13,1.000000e-02
netlib-pilotnov.mps,0,975,2446,848,2117,108033,2.992860e-01,2.254000e-11,4.330000e-08,-4.497276e+03,-4.497277e+03,0,16,4.400000e-01
netlib-sctap3.mps,0,1480,3340,1408,3268,103243,1.034460e-01,7.048000e-15,3.870000e-15,1.424000e+03,1.424000e+03,0,14,3.700000e-01
netlib-ganges.mps,0,1309,1706,1113,1510,48131,7.680900e-02,3.912000e-11,2.530000e-09,-1.095857e+05,-1.095857e+05,0,16,2.200000e-01
netlib-grow7.mps,0,140,301,140,301,2730,2.714290e-01,5.019000e-15,4.350000e-16,-4.778781e+07,-4.778781e+07,0,16,2.000000e-02
netlib-woodw.mps,0,1098,8418,708,5364,124513,4.953840e-01,3.303000e-11,1.570000e-09,1.304476e+00,1.304476e+00,0,30,8.200000e-01
netlib-degen3.mps,0,1503,2604,1503,2604,528709,4.674240e-01,8.596000e-11,8.860000e-10,-9.872940e+02,-9.872940e+02,3,13,3.750000e+00
netlib-boeing2.mps,0,166,305,126,265,3095,3.819600e-01,1.516000e-14,5.080000e-10,-3.150187e+02,-3.150187e+02,0,13,1.000000e-02
netlib-scfxm2.mps,14,660,1200,610,1136,15526,8.181100e-02,2.850000e-06,6.930000e-08,3.666026e+04,3.666026e+04,0,19,1.000000e-01
netlib-fit2d.mps,0,25,10524,25,10524,325,1.000000e+00,2.353000e-12,3.820000e-07,-6.846427e+04,-6.846432e+04,0,22,8.200000e-01
netlib-blend.mps,0,74,114,71,111,1736,6.746680e-01,2.763000e-13,7.860000e-14,-3.081215e+01,-3.081215e+01,0,9,1.000000e-02
netlib-sc205.mps,0,205,317,203,315,1717,7.840500e-02,2.578000e-13,5.690000e-12,-5.220206e+01,-5.220206e+01,0,10,1.000000e-02
netlib-ship08s.mps,0,778,2467,276,1604,4290,1.090110e-01,1.596000e-12,9.360000e-11,1.920098e+06,1.920098e+06,0,11,2.000000e-02
netlib-scfxm3.mps,0,990,1800,915,1704,23575,5.522400e-02,1.330000e-09,9.860000e-12,5.490125e+04,5.490125e+04,0,19,1.700000e-01
netlib-afiro.mps,0,27,51,27,51,149,3.717420e-01,7.078000e-16,8.070000e-13,-4.647531e+02,-4.647531e+02,0,7,0.000000e+00
netlib-bnl1.mps,0,643,1586,610,1491,31508,1.677130e-01,2.230000e-12,1.020000e-07,1.977630e+03,1.977629e+03,0,33,1.900000e-01
netlib-bore3d.mps,0,233,334,81,138,1400,4.144190e-01,4.536000e-12,4.050000e-11,1.373080e+03,1.373080e+03,0,15,1.000000e-02
