Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
meszaros-kleemin3.mps,0,3,6,3,6,6,1.000000e+00,1.819000e-16,4.350000e-25,-1.000000e+04,-1.000000e+04,0,5,0.000000e+00
meszaros-kleemin4.mps,0,4,8,4,8,10,1.000000e+00,1.562000e-16,5.030000e-10,-1.000000e+06,-1.000000e+06,0,6,0.000000e+00
meszaros-kleemin5.mps,0,5,10,5,10,15,1.000000e+00,4.470000e-16,8.910000e-21,-1.000000e+08,-1.000000e+08,0,8,0.000000e+00
meszaros-kleemin6.mps,0,6,12,6,12,21,1.000000e+00,3.815000e-16,1.080000e-19,-1.000000e+10,-1.000000e+10,0,8,0.000000e+00
meszaros-kleemin7.mps,0,7,14,7,14,28,1.000000e+00,4.880000e-16,1.790000e-16,-1.000000e+12,-1.000000e+12,0,8,0.000000e+00
meszaros-kleemin8.mps,0,8,16,8,16,36,1.000000e+00,2.919000e-16,3.290000e-15,-1.000000e+14,-1.000000e+14,0,9,0.000000e+00
meszaros-lindo.mps,0,7,17,6,16,20,9.444440e-01,1.472000e-16,2.080000e-15,1.750000e+04,1.750000e+04,0,9,0.000000e+00
meszaros-testps.mod.mps,0,12,46,12,46,31,3.472220e-01,1.093000e-15,3.130000e-10,2.516211e-10,-1.985510e-10,0,13,0.000000e+00
meszaros-aramco.mps,0,29,62,22,54,118,4.421490e-01,3.084000e-15,3.340000e-12,-3.926918e+05,-3.926918e+05,0,9,0.000000e+00
meszaros-p0033.mps,0,15,48,15,48,60,4.666670e-01,2.542000e-16,2.280000e-16,2.520572e+03,2.520572e+03,0,8,0.000000e+00
meszaros-p0040.mps,0,23,63,23,63,96,3.194710e-01,1.111000e-16,8.630000e-17,6.179655e+04,6.179655e+04,0,9,0.000000e+00
meszaros-zed.mps,0,116,142,105,131,3952,7.073920e-01,3.508000e-10,3.890000e-09,-1.506065e+04,-1.506065e+04,0,9,2.000000e-02
meszaros-orswq2.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-3-mix.mps,0,61,160,52,142,613,4.341720e-01,1.698000e-13,2.390000e-11,4.440468e+04,4.440468e+04,0,16,1.000000e-02
meszaros-gamsmod.mps,0,354,531,352,529,5836,9.136100e-02,2.634000e-15,3.210000e-16,1.000000e+00,1.000000e+00,0,3,0.000000e+00
meszaros-p0201.mps,0,133,334,133,334,7816,8.761940e-01,9.619000e-13,7.280000e-13,6.875000e+03,6.875000e+03,0,5,1.000000e-02
meszaros-p0282.mps,0,241,523,221,503,13065,5.304760e-01,4.393000e-16,5.750000e-10,1.768675e+05,1.768675e+05,0,13,4.000000e-02
meszaros-p0291.mps,0,252,543,205,495,8705,4.093990e-01,1.453000e-16,3.060000e-14,1.705129e+03,1.705129e+03,0,12,2.000000e-02
meszaros-p0548.mps,0,176,724,165,710,1189,8.128600e-02,9.905000e-16,5.680000e-09,3.152549e+02,3.152549e+02,0,24,2.000000e-02
meszaros-nsic1.mps,0,451,883,451,883,7240,6.897200e-02,1.612000e-15,2.450000e-08,-9.168554e+06,-9.168554e+06,0,10,3.000000e-02
meszaros-nsic2.mps,0,465,897,459,891,8011,7.387000e-02,7.124000e-08,8.510000e-08,-8.203512e+06,-8.203512e+06,0,14,4.000000e-02
meszaros-qiu.mps,0,1192,1900,1192,1900,102072,1.428370e-01,5.126000e-14,5.470000e-08,-9.316388e+02,-9.316389e+02,0,5,8.000000e-02
meszaros-model1.mps,0,362,798,307,669,15093,3.170220e-01,1.346000e-16,6.080000e-16,0.000000e+00,-1.692469e-15,0,8,2.000000e-02
meszaros-delfland.mps,0,677,1400,525,912,12234,8.686800e-02,2.498000e-13,2.730000e-08,2.203089e+00,2.203089e+00,0,46,8.000000e-02
meszaros-l09a13l1d.mps,14,244,1483,244,1483,7091,2.341100e-01,3.656000e-09,9.310000e-06,9.982443e-01,9.982257e-01,0,13,2.000000e-02
meszaros-p19.mps,0,284,851,251,766,9815,3.075980e-01,1.241000e-13,1.930000e-10,2.539644e+05,2.539644e+05,0,19,3.000000e-02
meszaros-nemscem.mps,0,651,1712,479,1540,14749,1.264770e-01,1.119000e-14,7.180000e-09,8.977233e+04,8.977233e+04,0,18,3.000000e-02
meszaros-nemsafm.mps,0,334,2348,322,1402,1324,2.243400e-02,5.641000e-16,5.160000e-08,-6.792371e+03,-6.792378e+03,0,16,2.000000e-02
meszaros-model2.mps,0,379,1321,365,1305,15749,2.336870e-01,5.102000e-10,1.270000e-09,-7.400489e+03,-7.400489e+03,0,23,8.000000e-02
meszaros-orna1.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-orna3.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-orna2.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-orna7.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
meszaros-or4.mps.mps,3,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
