Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
netlib-afiro.mps,0,27,51,27,51,107,2.565160e-01,1.566000e-15,8.070000e-13,-4.647531e+02,-4.647531e+02,0,7,0.000000e+00
netlib-sc50b.mps,0,50,78,48,76,231,1.796880e-01,1.554000e-15,1.880000e-16,-7.000000e+01,-7.000000e+01,0,6,0.000000e+00
netlib-sc50a.mps,0,50,78,49,77,242,1.811750e-01,7.559000e-15,1.380000e-14,-6.457508e+01,-6.457508e+01,0,7,0.000000e+00
netlib-kb2.mps,0,43,68,43,68,503,5.208220e-01,2.343000e-11,1.380000e-09,-1.749900e+03,-1.749900e+03,0,11,0.000000e+00
netlib-sc105.mps,0,105,163,104,162,569,9.559900e-02,1.986000e-14,6.550000e-12,-5.220206e+01,-5.220206e+01,0,9,0.000000e+00
netlib-adlittle.mps,0,56,138,55,137,404,2.489260e-01,1.716000e-14,1.230000e-15,2.254950e+05,2.254950e+05,0,11,0.000000e+00
netlib-stocfor1.mps,0,117,165,102,150,805,1.449440e-01,3.819000e-12,6.580000e-12,-4.113198e+04,-4.113198e+04,0,11,0.000000e+00
netlib-blend.mps,0,74,114,71,111,913,3.481450e-01,1.970000e-13,7.890000e-14,-3.081215e+01,-3.081215e+01,0,9,0.000000e+00
netlib-scagr7.mps,0,129,185,127,183,730,8.264600e-02,5.240000e-15,7.210000e-10,-2.331390e+06,-2.331390e+06,0,13,1.000000e-02
netlib-sc205.mps,0,205,317,203,315,1156,5.117800e-02,1.688000e-13,5.690000e-12,-5.220206e+01,-5.220206e+01,0,10,1.000000e-02
netlib-share2b.mps,0,96,162,96,162,1041,2.154950e-01,2.026000e-11,1.850000e-13,-4.157322e+02,-4.157322e+02,0,17,1.000000e-02
netlib-recipe.mps,0,91,204,64,123,277,1.196290e-01,4.215000e-13,1.420000e-15,-2.666160e+02,-2.666160e+02,0,8,0.000000e+00
netlib-lotfi.mps,0,153,366,133,346,1369,1.472670e-01,2.611000e-12,3.320000e-10,-2.526471e+01,-2.526471e+01,0,13,1.000000e-02
netlib-vtp.base.mps,0,198,346,72,111,505,1.809410e-01,3.935000e-16,4.350000e-16,1.298315e+05,1.298315e+05,0,10,0.000000e+00
netlib-share1b.mps,0,117,253,112,248,1417,2.169960e-01,7.352000e-11,1.170000e-10,-7.658932e+04,-7.658932e+04,0,18,1.000000e-02
netlib-boeing2.mps,0,166,305,126,265,2029,2.476690e-01,1.685000e-14,5.080000e-10,-3.150187e+02,-3.150187e+02,0,13,1.000000e-02
netlib-bore3d.mps,0,233,334,81,138,1034,3.028500e-01,4.556000e-12,4.050000e-11,1.373080e+03,1.373080e+03,0,15,1.000000e-02
netlib-scorpion.mps,0,388,466,340,412,2275,3.641900e-02,8.389000e-15,1.230000e-12,1.878125e+03,1.878125e+03,0,11,1.000000e-02
netlib-capri.mps,0,271,482,241,436,3962,1.322810e-01,1.255000e-14,1.670000e-08,2.690013e+03,2.690013e+03,0,17,2.000000e-02
netlib-brandy.mps,14,220,303,133,238,2755,3.039740e-01,5.056000e-05,3.320000e-12,1.518510e+03,1.518510e+03,0,17,2.000000e-02
netlib-sctap1.mps,0,300,660,284,644,2435,5.685900e-02,3.673000e-13,3.810000e-14,1.412250e+03,1.412250e+03,0,14,1.000000e-02
netlib-scagr25.mps,0,471,671,469,669,2944,2.463600e-02,9.781000e-13,1.650000e-12,-1.475343e+07,-1.475343e+07,0,17,2.000000e-02
netlib-israel.mps,0,174,316,174,316,11488,7.531380e-01,2.124000e-12,1.030000e-08,-8.966448e+05,-8.966448e+05,0,19,4.000000e-02
netlib-scfxm1.mps,0,330,600,305,568,4430,9.196500e-02,4.961000e-09,8.600000e-15,1.841676e+04,1.841676e+04,0,17,2.000000e-02
netlib-bandm.mps,0,305,472,240,395,3936,1.325000e-01,5.069000e-13,4.290000e-13,-1.586280e+02,-1.586280e+02,0,16,2.000000e-02
netlib-e226.mps,0,223,472,198,429,3229,1.596780e-01,5.291000e-13,6.640000e-13,-2.586493e+01,-2.586493e+01,0,18,2.000000e-02
netlib-grow7.mps,0,140,301,140,301,2730,2.714290e-01,6.556000e-15,4.800000e-16,-4.778781e+07,-4.778781e+07,0,16,2.000000e-02
netlib-etamacro.mps,0,400,816,334,669,10843,1.914020e-01,4.132000e-13,4.350000e-08,-7.557152e+02,-7.557152e+02,0,26,3.000000e-02
netlib-agg.mps,0,488,615,390,477,12297,1.591320e-01,2.891000e-13,1.730000e-12,-3.599177e+07,-3.599177e+07,0,18,3.000000e-02
netlib-finnis.mps,0,497,1064,438,935,4984,4.967600e-02,1.414000e-12,4.230000e-08,1.727911e+05,1.727911e+05,0,22,3.000000e-02
netlib-scsd1.mps,0,77,760,77,760,1392,4.565690e-01,5.561000e-15,1.250000e-08,8.666667e+00,8.666667e+00,0,8,1.000000e-02
netlib-standata.mps,0,359,1274,314,796,2395,4.539700e-02,4.239000e-16,3.490000e-17,1.257699e+03,1.257699e+03,0,13,1.000000e-02
netlib-standgub.mps,0,361,1383,314,796,2395,4.539700e-02,4.239000e-16,3.490000e-17,1.257699e+03,1.257699e+03,0,13,1.000000e-02
netlib-beaconfd.mps,0,173,295,86,171,820,2.101140e-01,4.617000e-14,8.870000e-14,3.359249e+04,3.359249e+04,0,10,1.000000e-02
netlib-stair.mps,0,356,614,356,532,14682,2.288850e-01,3.592000e-10,4.080000e-09,-2.512670e+02,-2.512670e+02,0,13,3.000000e-02
netlib-gfrd-pnc.mps,0,616,1160,590,1134,2112,1.044000e-02,2.792000e-13,2.940000e-15,6.902236e+06,6.902236e+06,0,16,2.000000e-02
netlib-standmps.mps,0,467,1274,422,1192,3957,4.207000e-02,2.586000e-15,6.770000e-09,1.406018e+03,1.406017e+03,0,23,2.000000e-02
