Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
netlib-afiro.mps,0,27,51,27,51,166,4.183810e-01,1.399000e-15,8.070000e-13,-4.647531e+02,-4.647531e+02,0,7,0.000000e+00
netlib-sc50b.mps,0,50,78,48,76,361,2.925350e-01,1.833000e-15,1.990000e-16,-7.000000e+01,-7.000000e+01,0,6,0.000000e+00
netlib-sc50a.mps,0,50,78,49,77,326,2.511450e-01,5.486000e-15,1.400000e-14,-6.457508e+01,-6.457508e+01,0,7,0.000000e+00
netlib-kb2.mps,0,43,68,43,68,747,7.847490e-01,3.897000e-11,1.380000e-09,-1.749900e+03,-1.749900e+03,0,11,0.000000e+00
netlib-sc105.mps,0,105,163,104,162,825,1.429360e-01,1.993000e-14,6.550000e-12,-5.220206e+01,-5.220206e+01,0,9,0.000000e+00
netlib-adlittle.mps,0,56,138,55,137,503,3.143800e-01,1.490000e-14,4.800000e-16,2.254950e+05,2.254950e+05,0,11,0.000000e+00
netlib-stocfor1.mps,0,117,165,102,150,1388,2.570170e-01,3.427000e-12,6.580000e-12,-4.113198e+04,-4.113198e+04,0,11,0.000000e+00
netlib-blend.mps,0,74,114,71,111,1813,7.052170e-01,2.806000e-13,7.930000e-14,-3.081215e+01,-3.081215e+01,0,9,0.000000e+00
netlib-scagr7.mps,0,129,185,127,183,1036,1.205900e-01,1.245000e-14,7.210000e-10,-2.331390e+06,-2.331390e+06,0,13,1.000000e-02
netlib-sc205.mps,0,205,317,203,315,1716,7.835700e-02,2.419000e-13,5.690000e-12,-5.220206e+01,-5.220206e+01,0,10,1.000000e-02
netlib-share2b.mps,0,96,162,96,162,1542,3.242190e-01,3.012000e-11,1.840000e-13,-4.157322e+02,-4.157322e+02,0,17,1.000000e-02
netlib-recipe.mps,0,91,204,64,123,278,1.201170e-01,5.948000e-13,1.420000e-15,-2.666160e+02,-2.666160e+02,0,8,0.000000e+00
netlib-lotfi.mps,0,153,366,133,346,2694,2.970770e-01,2.817000e-12,3.320000e-10,-2.526471e+01,-2.526471e+01,0,13,1.000000e-02
netlib-vtp.base.mps,0,198,346,72,111,504,1.805560e-01,3.622000e-16,1.830000e-16,1.298315e+05,1.298315e+05,0,10,1.000000e-02
netlib-share1b.mps,0,117,253,112,248,1762,2.720030e-01,9.734000e-11,1.170000e-10,-7.658932e+04,-7.658932e+04,0,18,1.000000e-02
netlib-boeing2.mps,0,166,305,126,265,3093,3.817080e-01,1.574000e-14,5.080000e-10,-3.150187e+02,-3.150187e+02,0,13,1.000000e-02
netlib-bore3d.mps,0,233,334,81,138,1408,4.168570e-01,4.537000e-12,4.050000e-11,1.373080e+03,1.373080e+03,0,15,1.000000e-02
netlib-scorpion.mps,0,388,466,340,412,4926,8.228400e-02,1.291000e-14,1.230000e-12,1.878125e+03,1.878125e+03,0,11,1.000000e-02
netlib-capri.mps,0,271,482,241,436,5711,1.925070e-01,1.235000e-14,1.670000e-08,2.690013e+03,2.690013e+03,0,17,2.000000e-02
netlib-brandy.mps,14,220,303,133,238,3708,4.117250e-01,5.367000e-05,1.710000e-12,1.518511e+03,1.518510e+03,0,17,2.000000e-02
netlib-sctap1.mps,0,300,660,284,644,5367,1.295630e-01,2.096000e-13,1.100000e-14,1.412250e+03,1.412250e+03,0,14,2.000000e-02
netlib-scagr25.mps,0,471,671,469,669,4258,3.658400e-02,9.648000e-13,1.650000e-12,-1.475343e+07,-1.475343e+07,0,17,3.000000e-02
netlib-israel.mps,0,174,316,174,316,11506,7.543270e-01,2.126000e-12,1.030000e-08,-8.966448e+05,-8.966448e+05,0,19,8.000000e-02
netlib-scfxm1.mps,0,330,600,305,568,7419,1.562270e-01,2.724000e-09,8.700000e-15,1.841676e+04,1.841676e+04,0,17,4.000000e-02
netlib-bandm.mps,0,305,472,240,395,7083,2.417710e-01,5.573000e-13,4.290000e-13,-1.586280e+02,-1.586280e+02,0,16,3.000000e-02
netlib-e226.mps,0,223,472,198,429,7715,3.885320e-01,7.611000e-13,6.640000e-13,-2.586493e+01,-2.586493e+01,0,18,3.000000e-02
netlib-grow7.mps,0,140,301,140,301,2730,2.714290e-01,6.499000e-15,4.150000e-16,-4.778781e+07,-4.778781e+07,0,16,2.000000e-02
netlib-etamacro.mps,0,400,816,334,669,23260,4.140160e-01,4.111000e-13,4.350000e-08,-7.557152e+02,-7.557152e+02,0,26,9.000000e-02
netlib-agg.mps,0,488,615,390,477,26647,3.478240e-01,4.463000e-13,1.730000e-12,-3.599177e+07,-3.599177e+07,0,18,9.000000e-02
netlib-finnis.mps,0,497,1064,438,935,10466,1.068260e-01,3.433000e-12,4.230000e-08,1.727911e+05,1.727911e+05,0,22,5.000000e-02
